date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:18:54	55734/55734	---M-Z	200	added ('OK')	text/html	etag:%22d9b6-653a26ba-9ca065f782bee758;gz%22	https://www.webstrot.com/html/moviepro/html/movie_single_second.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/movie_single_second.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:55	38834/38834	---M-Z	200	added ('OK')	text/html	etag:%2297b2-653a26ba-b7deb4fdb6ac93d6;gz%22	https://www.webstrot.com/html/moviepro/html/gallery.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/gallery.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:56	9128/9128	---M-Z	200	added ('OK')	text/html	etag:%2223a8-653a26ba-595a575eb4741f08;gz%22	https://www.webstrot.com/html/moviepro/html/booking_type.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/booking_type.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:56	33706/33706	---M-Z	200	added ('OK')	text/html	etag:%2283aa-653a26ba-e25f02d71d7e77e1;gz%22	https://www.webstrot.com/html/moviepro/html/confirmation_screen.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/confirmation_screen.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:57	83083/83083	---M-Z	200	added ('OK')	text/html	etag:%221448b-653a26ba-a69fda469f7e7a30;gz%22	https://www.webstrot.com/html/moviepro/html/movie_booking.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/movie_booking.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:57	21841/21841	---M-Z	200	added ('OK')	text/html	etag:%225551-653a26ba-bed6d6614f09f4;gz%22	https://www.webstrot.com/html/moviepro/html/seat_booking.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/seat_booking.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:58	35738/35738	---M-Z	200	added ('OK')	text/html	etag:%228b9a-653a26ba-9df6b66957662c4;gz%22	https://www.webstrot.com/html/moviepro/html/contact.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/contact.html	(from https://www.webstrot.com/html/moviepro/html/)
18:18:59	50089/50089	---M-Z	200	added ('OK')	text/html	etag:%22c3a9-653a26ba-559c3c5e3f5845a8;gz%22	https://www.webstrot.com/html/moviepro/html/about.html	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/about.html	(from https://www.webstrot.com/html/moviepro/html/)
18:19:00	179835/179835	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:18:59%20GMT	https://www.webstrot.com/html/moviepro/html/images/header/01.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/header/01.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:01	177710/177710	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:00%20GMT	https://www.webstrot.com/html/moviepro/html/images/header/02.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/header/02.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:03	186485/186485	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:01%20GMT	https://www.webstrot.com/html/moviepro/html/images/header/03.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/header/03.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:03	23336/23336	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:03%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/up4.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/up4.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:04	26000/26000	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:03%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/up5.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/up5.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:05	22715/22715	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:04%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/up6.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/up6.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:06	25323/25323	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:05%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/up7.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/up7.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:07	20016/20016	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:06%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/up8.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/up8.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:08	23447/23447	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:07%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws2.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws2.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:09	22984/22984	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:08%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws3.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws3.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:10	24101/24101	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:09%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws4.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws4.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:11	31861/31861	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:10%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws5.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws5.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:12	23870/23870	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:11%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws6.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws6.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:13	18837/18837	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:12%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ws7.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ws7.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:14	13916/13916	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:13%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/nl2.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/nl2.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:14	15697/15697	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:13%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/nl3.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/nl3.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:15	16187/16187	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:14%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ft1.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ft1.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:16	18803/18803	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:15%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ft2.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ft2.jpg	(from https://www.webstrot.com/html/moviepro/html/)
18:19:17	17625/17625	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Nov%202023%2011:19:16%20GMT	https://www.webstrot.com/html/moviepro/html/images/content/ft3.jpg	C:/xampp/htdocs/duan1_vephim/webvephim/www.webstrot.com/html/moviepro/html/images/content/ft3.jpg	(from https://www.webstrot.com/html/moviepro/html/)
